iter	Passed	Remaining
767	876	264
768	877	263
769	878	262
770	880	261
771	881	260
772	882	259
773	883	258
774	884	256
775	885	255
776	886	254
777	887	253
778	888	252
779	889	250
780	890	249
781	891	248
782	892	247
783	892	245
784	894	244
785	895	243
786	896	242
787	897	241
788	897	240
789	898	238
790	899	237
791	900	236
792	901	235
793	902	234
794	903	232
795	904	231
796	905	230
797	906	229
798	907	228
799	909	227
800	910	226
801	911	224
802	912	223
803	914	222
804	914	221
805	915	220
806	916	219
807	917	218
808	918	216
809	919	215
810	920	214
811	921	213
812	922	212
813	923	210
814	924	209
815	925	208
816	926	207
817	926	206
818	927	205
819	928	203
820	929	202
821	929	201
822	931	200
823	932	199
824	932	197
825	933	196
826	934	195
827	935	194
828	936	193
829	937	192
830	938	190
831	939	189
832	940	188
833	941	187
834	941	186
835	942	184
836	943	183
837	944	182
838	945	181
839	946	180
840	946	179
841	947	177
842	948	176
843	950	175
844	950	174
845	951	173
846	952	172
847	953	170
848	953	169
849	954	168
850	956	167
851	957	166
852	958	165
853	958	163
854	959	162
855	960	161
856	961	160
857	961	159
858	962	158
859	963	156
860	964	155
861	965	154
862	966	153
863	967	152
864	968	151
865	969	150
866	970	148
867	971	147
868	971	146
869	972	145
870	973	144
871	974	143
872	976	141
873	976	140
874	977	139
875	978	138
876	979	137
877	980	136
878	981	135
879	982	134
880	983	132
881	984	131
882	985	130
883	986	129
884	987	128
885	988	127
886	989	126
887	990	124
888	990	123
889	991	122
890	992	121
891	994	120
892	995	119
893	995	118
894	996	116
895	997	115
896	998	114
897	999	113
898	1000	112
899	1001	111
900	1002	110
901	1003	108
902	1004	107
903	1004	106
904	1005	105
905	1006	104
906	1007	103
907	1008	102
908	1009	101
909	1010	99
910	1010	98
911	1012	97
912	1013	96
913	1013	95
914	1014	94
915	1015	93
916	1016	91
917	1017	90
918	1018	89
919	1019	88
920	1020	87
921	1020	86
922	1021	85
923	1022	84
924	1023	83
925	1025	81
926	1025	80
927	1026	79
928	1027	78
929	1028	77
930	1029	76
931	1031	75
932	1031	74
933	1032	72
934	1033	71
935	1034	70
936	1034	69
937	1036	68
938	1036	67
939	1037	66
940	1038	65
941	1039	63
942	1040	62
943	1040	61
944	1041	60
945	1042	59
946	1043	58
947	1044	57
948	1045	56
949	1046	55
950	1046	53
951	1047	52
952	1048	51
953	1049	50
954	1050	49
955	1051	48
956	1052	47
957	1053	46
958	1053	45
959	1055	43
960	1056	42
961	1057	41
962	1058	40
963	1058	39
964	1059	38
965	1060	37
966	1061	36
967	1062	35
968	1063	34
969	1063	32
970	1064	31
971	1065	30
972	1066	29
973	1067	28
974	1067	27
975	1068	26
976	1069	25
977	1070	24
978	1071	22
979	1072	21
980	1072	20
